Date (daily),The modified number of CIP in Isfahan,Aerosol (daily),Gas,Date (seven days ago),Aerosol ,Date (six days ago),Aerosol ,Date (five days ago),Aerosol ,Date (four days ago),Aerosol ,Date (three days ago),Aerosol ,Date (two days ago),Aerosol ,Date (one day ago),Aerosol ,,
2/20/2020,0,0.6,0.1,2/12/2020,0.2,2/13/2020,0.3,2/14/2020,0.3,2/15/2020,0.3,2/16/2020,0.6,2/17/2020,0.7,2/19/2020,0.5,,
2/21/2020,0,0.4,0.1,2/13/2020,0.3,2/14/2020,0.3,2/15/2020,0.3,2/16/2020,0.6,2/17/2020,0.7,2/18/2020,0.5,2/20/2020,0.6,,
2/22/2020,0,0.5,0.1,2/14/2020,0.3,2/15/2020,0.3,2/16/2020,0.6,2/17/2020,0.7,2/18/2020,0.5,2/19/2020,0.6,2/21/2020,0.4,,
2/23/2020,0,0.6,0.1,2/15/2020,0.3,2/16/2020,0.6,2/17/2020,0.7,2/18/2020,0.5,2/19/2020,0.6,2/20/2020,0.4,2/22/2020,0.5,,
2/24/2020,0.2,0.5,0.5,2/16/2020,0.6,2/17/2020,0.7,2/18/2020,0.5,2/19/2020,0.6,2/20/2020,0.4,3/21/2020,0.5,2/23/2020,0.6,,
2/25/2020,0,0.6,0.6,2/17/2020,0.7,2/18/2020,0.5,2/19/2020,0.6,2/20/2020,0.4,3/21/2020,0.5,3/22/2020,0.6,2/24/2020,0.5,,
2/26/2020,0,0.4,0.3,2/18/2020,0.5,2/19/2020,0.6,2/20/2020,0.4,3/21/2020,0.5,3/22/2020,0.6,3/23/2020,0.5,2/25/2020,0.6,,
2/27/2020,0.2,0.4,0.3,2/19/2020,0.6,2/20/2020,0.4,3/21/2020,0.5,3/22/2020,0.6,3/23/2020,0.5,3/24/2020,0.6,2/26/2020,0.4,,
2/28/2020,0.2,0.4,0.3,2/20/2020,0.4,3/21/2020,0.5,3/22/2020,0.6,3/23/2020,0.5,3/24/2020,0.6,3/25/2020,0.4,2/27/2020,0.4,,
2/29/2020,0.2,0.5,0.7,3/21/2020,0.5,3/22/2020,0.6,3/23/2020,0.5,3/24/2020,0.6,3/25/2020,0.4,3/26/2020,0.4,2/28/2020,0.4,,
3/1/2020,0.2,0.6,0.6,3/22/2020,0.6,3/23/2020,0.5,3/24/2020,0.6,3/25/2020,0.4,3/26/2020,0.4,3/27/2020,0.4,2/29/2020,0.5,,
3/2/2020,0,0.5,0.5,3/23/2020,0.5,3/24/2020,0.6,3/25/2020,0.4,3/26/2020,0.4,3/27/2020,0.4,3/28/2020,0.5,3/1/2020,0.6,,
3/3/2020,0,0.5,0.5,3/24/2020,0.6,3/25/2020,0.4,3/26/2020,0.4,3/27/2020,0.4,3/28/2020,0.5,3/29/2020,0.6,3/2/2020,0.5,,
3/4/2020,0,0.3,0.3,3/25/2020,0.4,3/26/2020,0.4,3/27/2020,0.4,3/28/2020,0.5,3/29/2020,0.6,3/1/2020,0.5,3/3/2020,0.5,,
3/5/2020,0.6,0.3,0.3,3/26/2020,0.4,3/27/2020,0.4,3/28/2020,0.5,3/29/2020,0.6,3/1/2020,0.5,3/2/2020,0.5,3/4/2020,0.3,,
3/6/2020,0.7,0.6,0.5,3/27/2020,0.4,3/28/2020,0.5,3/29/2020,0.6,3/1/2020,0.5,3/2/2020,0.5,3/3/2020,0.3,3/5/2020,0.3,,
3/7/2020,0.5,0.6,0.6,3/28/2020,0.5,3/29/2020,0.6,3/1/2020,0.5,3/2/2020,0.5,3/3/2020,0.3,3/4/2020,0.3,3/6/2020,0.6,,
3/8/2020,0.5,0.5,0.5,3/29/2020,0.6,3/1/2020,0.5,3/2/2020,0.5,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.6,3/7/2020,0.6,,
3/9/2020,0.3,0.6,0.5,3/1/2020,0.5,3/2/2020,0.5,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.6,3/6/2020,0.6,3/8/2020,0.5,,
3/10/2020,0.2,0.3,0.3,3/2/2020,0.5,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.6,3/6/2020,0.6,3/7/2020,0.5,3/9/2020,0.6,,
3/11/2020,0.8,0.3,0.3,3/3/2020,0.3,3/4/2020,0.3,3/5/2020,0.6,3/6/2020,0.6,3/7/2020,0.5,3/8/2020,0.6,3/10/2020,0.3,,
3/12/2020,0.2,0.5,0.5,3/4/2020,0.3,3/5/2020,0.6,3/6/2020,0.6,3/7/2020,0.5,3/8/2020,0.6,3/9/2020,0.3,3/11/2020,0.3,,
3/13/2020,0.5,0.6,0.6,3/5/2020,0.6,3/6/2020,0.6,3/7/2020,0.5,3/8/2020,0.6,3/9/2020,0.3,3/10/2020,0.3,3/12/2020,0.5,,
3/14/2020,0.7,0.5,0.5,3/6/2020,0.6,3/7/2020,0.5,3/8/2020,0.6,3/9/2020,0.3,3/10/2020,0.3,3/11/2020,0.5,3/13/2020,0.6,,
3/15/2020,0.6,0.5,0.6,3/7/2020,0.5,3/8/2020,0.6,3/9/2020,0.3,3/10/2020,0.3,3/11/2020,0.5,3/12/2020,0.6,3/14/2020,0.5,,
3/16/2020,0.5,0.3,0.3,3/8/2020,0.6,3/9/2020,0.3,3/10/2020,0.3,3/11/2020,0.5,3/12/2020,0.6,3/13/2020,0.5,3/15/2020,0.5,,
3/17/2020,0.3,0.5,0.5,3/9/2020,0.3,3/10/2020,0.3,3/11/2020,0.5,3/12/2020,0.6,3/13/2020,0.5,3/14/2020,0.5,3/16/2020,0.3,,
3/18/2020,0.7,0.5,0.6,3/10/2020,0.3,3/11/2020,0.5,3/12/2020,0.6,3/13/2020,0.5,3/14/2020,0.5,3/15/2020,0.3,3/17/2020,0.5,,
3/19/2020,0.6,0.7,0.7,3/11/2020,0.5,3/12/2020,0.6,3/13/2020,0.5,3/14/2020,0.5,3/15/2020,0.3,3/16/2020,0.5,3/18/2020,0.5,,
,,0.88,0.03,,0.84,,0.77,,0.25,,0.98,,0.02,,0.22,,0.22,0.98,Maximum
,,0.78,,,0.54,,0.63,,0.31,,0.93,,0.02,,0.32,,0.25,0.93,Maximum
